Timestamp,What do you think people use chatGPT for?,Which gender identity do you best identify with?,What is your age group?,How often do you use ChatGPT?,What faculty are you in?,What is your Year of Study,What is your current post-secondary role? ,When do you think using ChatGPT for an assignment draws the line between working smart and simply not working at all?,Do you think ChatGPT is more of a useful tool or a cheating engine?,"Students have been cheating well before the release of ChatGPT - for example, contract cheating. However, because ChatGPT is a free and powerful tool, cheating has become much easier. Thus, it begs the question - why do students cheat, generally speaking?","Looking at the possible reasons in the previous question, we now consider why students would have such feelings that would make them want to cheat. We consider looking at the bigger picture, the possible role our education system plays (note: we are generalizing the education system since ones such as Denmark’s is considered to be excellent by popular belief).
Perhaps AI has surpassed us in order to show us that we have to re-evaluate the format of our assigned work and standardized testing, and shift towards non-traditional methods.
Is the proficiency of ChatGPT causing the rise in cheating, or is the bigger problem at hand the education system?","How should academic institutions regulate the students' use of ChatGPT? (if you select more than one, please ensure that they are not contradictory!)","If academic institutions were to use ChatGPT, what should it be used for/as?",What University/College are you affiliated with? (optional),Any further comments regarding ChatGPT?,What is your year of study?,Email Address
3/21/2023 12:19:32,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,Holding in person tests as much as possible,It should not be used,TMU,,1st Year,
3/21/2023 12:27:28,,Female,18-19,Few times a week,Other,,Pursuing a diploma,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Sheer laziness due to disconnect from learning material,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Changing the grading system",A research tool,Other,,1st Year,
3/21/2023 12:35:04,,Female,18-19,Every day,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments",A research tool,,,1st Year,
3/21/2023 13:03:48,,Female,18-19,Once a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Cheating engine,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible",A research tool,Other,hi gen :),1st Year,
3/21/2023 13:16:15,,Male,18-19,Very rarely,Engineering,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Other,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system, It should be banned outright",A digital tutor providing personalized asynchronous learning,Other,"ai = cool 😎, cheating != cool 😞",1st Year,
3/21/2023 16:11:11,,Male,18-19,Once a week,Engineering,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/21/2023 21:30:57,,Male,20-29,Few times a week,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,Other,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning",Other,,3rd Year,
3/21/2023 22:04:07,,Female,20-29,Every day,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/21/2023 22:32:27,,Female,18-19,Few times a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Other,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Changing the grading system","A digital tutor providing personalized asynchronous learning, Marking assessments",Other,"I think educating students about the limitation of AI is the biggest focus that should be taken right now. In my courses students have began to use ChatGPT as thier ultimate source/ reference for assignments which is very concerning. Not only is this promoting disinformation to be spread around it’s also hindering a students ability to use critical thinking in the real world. With the rise of fake news and misinformation spreading already, ChatGPT is causing even more harm. ",1st Year,
3/23/2023 16:06:06,,Female,18-19,Once a week,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,The education system is the main problem,Surveilling the working process for assignments,A digital tutor providing personalized asynchronous learning,TMU,,1st Year,
3/27/2023 18:11:02,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Changing the grading system",A research tool,Other,,1st Year,
3/27/2023 19:19:46,,Male,18-19,Very rarely,Business,,Pursuing a diploma,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Other,Both students and the education system are part of the problem,Surveilling the working process for assignments,A research tool,Other,,1st Year,
3/27/2023 19:55:59,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,Sheer laziness due to disconnect from learning material,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible",A research tool,Other,,1st Year,
3/27/2023 20:56:19,,Female,20-29,Few times a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Other,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning, Other",,,1st Year,
3/29/2023 7:51:00,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible, Changing the grading system",A research tool,TMU,,1st Year,
3/29/2023 9:27:01,,Male,18-19,Once a week,Science,,Pursuing a diploma,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,Surveilling the working process for assignments,A research tool,TMU,,1st Year,
3/29/2023 9:27:53,,Female,20-29,Few times a week,Science,,Pursuing a PhD,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning",,,1st Year,
3/29/2023 10:02:26,,Female,18-19,Few times a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/29/2023 12:04:15,,Female,18-19,Few times a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/30/2023 10:15:53,,Female,20-29,Very rarely,Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,All of the above,Both students and the education system are part of the problem,Holding in person tests as much as possible,A digital tutor providing personalized asynchronous learning,,,1st Year,
3/30/2023 21:22:52,,Other,40-49,I am not familiar with it,Business,,Other,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Cheating engine,Other,Other,Other,Other,Other,What is chatgpt ,4th year,
